S No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,FEE
1413,BESTPU,BHARATIYA ENGG SCI & TECH INNOVATION UNIVERSITY,PU,SW,ATP,ANANTAPURAMU,COED,BESTPU,2019,CSE,44166,44166,101379,145996,44166,149399,44166,44166,163789,163789,44166,44166,121022,121022,44166,103179,,,40000
1414,BESTPU,BHARATIYA ENGG SCI & TECH INNOVATION UNIVERSITY,PU,SW,ATP,ANANTAPURAMU,COED,BESTPU,2019,DS,,131639,134975,134975,,131639,,131639,,131639,,131639,,131639,,131639,,,40000
1415,BESTPU,BHARATIYA ENGG SCI & TECH INNOVATION UNIVERSITY,PU,SW,ATP,ANANTAPURAMU,COED,BESTPU,2019,DS,123041,123041,123041,136660,123041,123041,143610,143610,158782,158782,123041,123041,123041,123041,123041,123041,,,40000
1416,CAMS,"COLLEGE OF AGRICULTURAL
ENGINEERING",UNIV,SW,ATP,MADAKASIRA,COED,ANGRA,U2008,AGR,,104614,170917,170917,,104614,,104614,,104614,,104614,123928,123928,,104614,,,10000
1417,APUCPU,APOLLO UNIVERSITY,PU,SW,CTR,CHITTOOR,COED,APUCPU,2022,CAD,41702,40697,156098,156098,149181,149181,108434,121515,62447,62447,41702,40697,39706,56460,41702,40697,NA,NA,50000
1418,APUCPU,APOLLO UNIVERSITY,PU,SW,CTR,CHITTOOR,COED,APUCPU,2022,CAD,35810,30940,35810,30940,35810,30940,31903,31903,35810,128779,35810,30940,35810,30940,35810,30940,NA,NA,50000
1419,APUCPU,APOLLO UNIVERSITY,PU,SW,CTR,CHITTOOR,COED,APUCPU,2022,CSE,36879,36863,71428,79820,135299,135299,67024,128204,43245,76099,36879,36863,50405,38073,113706,113706,NA,NA,50000
1420,APUCPU,APOLLO UNIVERSITY,PU,SW,CTR,CHITTOOR,COED,APUCPU,2022,CSE,41406,30309,90189,90594,41406,30309,41406,30309,53329,53329,41406,30309,86230,86230,41406,100365,NA,NA,50000
1421,CVST,"SVVU COLLEGE OF DAIRY
TECHNOLOGY",UNIV,SW,CTR,TIRUPATHI,COED,SVVU,1983,BDT,44971,44971,44971,44971,131345,131345,44971,44971,44971,44971,44971,44971,44971,44971,44971,44971,,,10000
1422,CVST,"SVVU COLLEGE OF DAIRY
TECHNOLOGY",UNIV,SW,CTR,TIRUPATHI,COED,SVVU,1983,BDT,,,,,,,168689,168689,,,,,,,,,,,10000
