S_No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,Gender,Category,Rank,Fee
32,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,CSE,GIRLS,OC,132938,35000
33,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,CSE,GIRLS,OC_EWS,120842,35000
34,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,CSE,GIRLS,SC,170635,35000
35,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,CSE,GIRLS,ST,173467,35000
36,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,BC_A,165041,35000
37,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,BC_B,163503,35000
38,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,BC_C,114459,35000
39,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,BC_D,114459,35000
40,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,BC_E,114459,35000
41,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,OC,114459,35000
42,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,OC_EWS,128288,35000
43,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,SC,114459,35000
44,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,BOYS,ST,114459,35000
45,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,BC_A,165041,35000
46,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,BC_B,163503,35000
47,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,BC_C,114459,35000
48,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,BC_D,146246,35000
49,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,BC_E,114459,35000
50,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,OC,114459,35000
51,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,SC,114459,35000
52,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,ECE,GIRLS,ST,114459,35000
53,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,BC_A,169163,35000
54,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,BC_B,169169,35000
55,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,BC_D,169142,35000
56,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,BC_E,169163,35000
57,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,OC,169131,35000
58,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,SC,169131,35000
59,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,BOYS,ST,173554,35000
60,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,BC_A,169163,35000
61,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,BC_B,169169,35000
62,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,BC_D,169163,35000
63,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,BC_E,169163,35000
64,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,OC,169163,35000
65,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,SC,169163,35000
66,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,EEE,GIRLS,ST,173554,35000
67,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,BC_A,169163,35000
68,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,BC_B,169169,35000
69,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,BC_D,169142,35000
70,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,BC_E,169163,35000
71,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,OC,169131,35000
72,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,SC,173540,35000
73,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,BOYS,ST,169131,35000
74,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,BC_A,169163,35000
75,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,BC_B,169169,35000
76,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,BC_C,169131,35000
77,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,BC_D,169142,35000
78,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,BC_E,169163,35000
79,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,OC,169131,35000
80,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,SC,173540,35000
81,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,2008,MEC,GIRLS,ST,169131,35000
82,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,BC_A,109003,38000
83,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,BC_B,123948,38000
84,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,BC_C,81311,38000
85,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,BC_D,81311,38000
86,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,BC_E,81311,38000
87,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,OC,81311,38000
88,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,SC,129296,38000
89,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,BOYS,ST,81311,38000
90,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,BC_A,119201,38000
91,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,BC_B,123948,38000
92,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,BC_C,119201,38000
93,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,BC_D,119201,38000
94,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,BC_E,119201,38000
95,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,OC,119201,38000
96,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,OC_EWS,109659,38000
97,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,SC,138982,38000
98,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CIV,GIRLS,ST,119201,38000
99,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,BC_A,77271,38000
100,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,BC_B,68512,38000
101,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,BC_C,31900,38000
102,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,BC_D,42295,38000
103,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,BC_E,147695,38000
104,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,OC,31900,38000
105,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,OC_EWS,34137,38000
106,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,SC,110055,38000
107,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,BOYS,ST,128262,38000
108,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,BC_A,77271,38000
109,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,BC_B,68512,38000
110,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,BC_C,31900,38000
111,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,BC_D,61136,38000
112,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,BC_E,147695,38000
113,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,OC,31900,38000
114,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,OC_EWS,26445,38000
115,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,SC,110055,38000
116,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSE,GIRLS,ST,171628,38000
117,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,BC_A,99522,38000
118,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,BC_B,69370,38000
119,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,BC_C,44767,38000
120,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,BC_D,52754,38000
121,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,BC_E,132995,38000
122,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,OC,44767,38000
123,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,OC_EWS,47332,38000
124,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,SC,170214,38000
125,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,BOYS,ST,95066,38000
126,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,BC_A,136357,38000
127,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,BC_B,76716,38000
128,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,BC_C,52880,38000
129,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,BC_D,57239,38000
130,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,BC_E,142219,38000
131,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,OC,45866,38000
132,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,OC_EWS,50848,38000
133,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,SC,170214,38000
134,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSM,GIRLS,ST,95066,38000
135,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,BC_A,109412,38000
136,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,BC_B,77179,38000
